gcs_path,label
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--04ndbWy7I04gsPgu9qOeQHaHs.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--3xxJkezSkNzxrQaxlhv-QHaHa.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--4zW12JF-JpwKcDtEK7thgHaLC.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--7K5JzW1ZEmrY2YRyVjFCQHaE7.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--8RSoaU1iEvZhemy7FlYegHaD9.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--BwCcfYAvrI0U8yYgWplXwHaF1.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--CDKKVE9j_HyFGxf8DAV7wHaJQ.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--ENWG-ez2NKhOnDxPMCeQAHaEA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--Mpfd_ozZWI-BuFQkizVrwHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--MyP_OSXxDXRp6GD5Pci0wHaGS.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--eJJJ5u2_KgNggs6GsMtswHaHk.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--gEvtip9-FSfOy_MWMXSxQHaJ6.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--lGiTfH7hOR6PZ238zlM9QHaE7.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP--mHsZ6cdBGKHe-NOtHgERgHaD-.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0-4j2LrYb7bKSeuUdc2yJQHaLX.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0-M4adMCfm8xuWUCy5IXdQHaKe.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0-OGDZB7ms6WPw21pssBbgHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-02MfXWiFtDKuR4G4uMsjeAHaE7.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-05XApkSfFPeJvmujAIqQxQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-09Xo0wT0Ek5A_d_bUKgUogHaIj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0BCM2aYkl7ORNrG3GS51fAHaFb.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0ClK4inJCxnsXnRBs1-aNQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0FapqhMTiS5SBxXLNGgZHAHaFs.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0FgiBZnYBh-PeACWWMXTlQHaJ4.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0Im5va_-bRFaoKpgElzpoAHaE8.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0J4n0Xih1oytcvXbu5Qk-AAAAA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0L057N-wdtn52ZteWKt5CQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0OjVBP86YhIZHiJfb4SQ5AAAAA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0Rm-Jx_MbSBV5xJrOFU_iQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0SLZTSG08Ar-epysCY43xwHaGa.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0_lYjNzp5jhMP4XfHF-zogHaFc.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0f0rumiaqCzPrIXEY4CU7gHaIt.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0heStKGmL-j-2gjMIZTcZwHaHa.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0iKlmwuQmO00kb07LOrBWQHaEo.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0jq2P0QmtOYAYXNy3SeiYgHaHF.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0kLeRahbA2H3wr8RfUJDeAAAAA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0nCXiQiaWGKe08X6vsMNOgHaJV.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0qYj_WAGHgxkLbtnzT4WNgHaFq.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0qsT4Bt5npKBmWTFUppwxQHaE8.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0uDxYvQflWtWD6J2uOuHawHaFk.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-0wlV2OUzauS5VTWx2x3UIAHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-16XQG-F8cywgHOevhx8bFAHaE9.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-19imCcN17hvaqDwQecDmnAHaGK.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1D6zosikoPzPHorZk567SAHaE8.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1D85l59j5z5r24EUIUKzzgHaFc.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1DdCvZjzqUJ9uhTp2fQLOQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1E4aQFjUsLfadzVh0GGlYgHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1G1AJWAUHsmswhBMsnVdxAHaFc.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1GLDT_vfdLFEcWBzWaxt7gAAAA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1Pe_ZxZFQr0plwkelAMbQQHaEo.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1Q2xc8N_Ls_ulwpyUfpTeQHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1REZKqaKuAMdsOrdtwBc5AHaEK.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1RSm8WLmeAy0JwdkTyJT6AHaFj.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1Sd0G-6ou3Ciuxmfdm3sQAHaHa.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1SgDJSK11RSVS8hdNpyECgHaIU.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1Si6RXmIqYDWQM1W7SAq2AAAAA.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1TNRYIKnR0AunJX8klVBsgHaE7.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1TbiHq1KbZHiOafjeeavwgHaD-.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1U6cn7tUewAnicLpUL0PewHaKU.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1WJ7qocJkx9lKyqj7zPLZgHaFY.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1W_K0J2BGc0YqKMPuoC7kQHaHa.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1atwo6u-KjDXd2ukaOGVTQHaGd.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1eN9_Ubu1fhw1PLpuGR61AHaE0.jpeg,butterfly
gs://animal-ai-images/poised-gateway-478017-a4/butterfly/OIP-1fDnV0a5mw4x9EZCoZ-3oQHaEK.jpeg,butterfly
